Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Delta Port alive Duration (S),Connection Point,Packets Looked Up,Packets Matched,Label
4,305111,25506841,100234870,284579,1657,5,4,992868,992744,0
2,209,20671,6316631,274,96,5,2,90551,90494,3
4,150,19774,6475473,3054,166,5,4,7516,7418,2
1,4699,100986365,124574097,413351,2267,5,1,664849,664714,0
3,990,104058,88896,778,792,5,4,4328,4201,1
1,361,12607883,30146,331,121,5,1,159924,159833,3
2,186524,39444125,36677476,120800,2040,4,2,513846,513763,0
2,1733,37865130,38063670,3187,2152,5,3,15087,14864,4
2,417,6320215,12633727,607,156,5,2,164863,164772,3
4,350188,14877116,101354648,159524,2910,5,4,667459,667324,0
1,2503,44264187,12755005,1737,1182,5,2,9865,9656,4
3,510,6334040,12621951,458,121,4,3,1768,1680,2
2,652,18919286,6341868,622,126,5,2,1808,1711,3
1,79,10589,6367989,1223,71,4,1,1830,1730,2
3,180726,177778634,75906675,154707,2330,5,3,660674,660539,0
2,2326,12856942,31777516,2998,2497,5,2,7343,7259,1
2,1116,31533940,30000868,412970,987,5,2,983013,982897,0
2,1317,31547911,42435809,409060,1087,4,2,645327,645204,0
1,697,12630906,18953110,946,256,5,1,261323,261225,3
3,118948,30254220,51158399,316810,1177,5,3,985719,985596,0
2,537,18911468,52514,567,261,5,2,2324,2223,3
2,3877,88347011,92481245,249129,2260,5,2,659381,659246,0
2,2528,50505796,63317281,4246,2417,5,2,17801,17669,1
1,4591,100970470,113805346,6472,2657,5,2,23774,23546,4
3,1157,18967420,6330539,378,246,5,3,3126,3016,3
2,5002,94715584,152836980,418211,2187,5,2,999094,998964,0
3,178719,127295580,125593508,288246,2027,5,3,659828,659700,0
4,392,32783,16363,156,116,5,4,1222,1130,1
1,2271,37904924,79737446,247343,1440,4,1,649793,649669,0
1,10606,202191356,302862,2209,3307,5,3,18832,18586,4
4,3929,56967805,69559369,4060,1742,5,5,11827,11616,4
1,1854,50459186,35342198,239391,1500,5,1,511489,511408,0
1,4010,12819187,19153277,4625,221,5,1,9007,8894,2
1,288,34983,60054,651,326,5,1,2752,2637,1
1,5025,132466086,85992784,243127,2840,4,1,521188,521100,0
3,172960,13594959,12675157,151166,745,4,3,641204,641088,0
1,181640,77046058,12725356,300228,2060,5,2,960112,959974,0
3,177966,114651837,112961146,287662,1827,4,3,657145,657019,0
1,2006,31642993,6429949,1308,1092,5,2,8369,8195,4
4,275,6317438,22168,223,111,5,4,892,805,3
2,13,1102,11963,90,86,4,2,1136,1046,3
2,98,13165,6324117,382,101,4,2,657,560,2
1,5964,126239134,149305621,251687,2810,4,1,666981,666846,0
1,828,6348516,37855456,1363,236,5,1,245185,245080,3
4,376,51548,55006,441,562,5,4,2603,2494,1
1,315891,82545609,57503656,316808,1687,4,1,993094,992970,0
1,155,20372,12627284,504,171,4,1,4579,4473,2
2,193,18356,8177524,34766,66,5,2,35268,35166,3
1,3746,82046441,99295651,412022,1817,5,1,657127,657001,0
2,997,18943252,25358932,1956,1276,5,2,8787,8667,1
2,147,19260,19260,147,161,5,2,977,862,3
2,5405,119909364,130381017,251032,2700,5,2,665375,665240,0
2,1429,31555483,48920593,413563,1087,5,2,984623,984501,0
4,6692,101255562,69688658,5017,3106,5,5,22821,22594,4
3,228,23556,15831,120,126,4,3,1317,1213,3
2,1596,36256056,31727100,2737,1786,5,2,11272,11152,1
2,121,8642,100480,821,972,4,3,3833,3667,4
2,1745,31577681,50630464,3159,1756,5,2,11217,11088,1
1,315695,76240454,56036977,316552,1527,4,1,991697,991573,0
1,2566,44216608,86077701,247841,1760,5,1,653174,653050,0
2,280294,24404791,19109446,304118,810,4,4,948538,948414,0
1,235,16260,12624527,481,141,5,1,135344,135238,3
3,122270,87153471,89140209,319506,2217,5,3,999306,999172,0
1,1007,12652258,48157109,245796,1075,5,1,644814,644690,0
2,184328,14070061,5029322,118858,780,5,2,506926,506850,0
2,6324,164012770,118384348,414499,2757,4,2,671191,671054,0
1,5151,101017374,142955467,250960,2620,5,1,663787,663652,0
3,1802,19066047,25394567,2342,1522,5,4,11218,11011,4
3,178217,120966059,119282716,288019,1947,4,3,658221,658094,0
3,179555,139945353,140991819,289026,2217,5,3,663601,663466,0
2,2501,63082498,44428538,4008,2557,5,3,19067,18843,4
3,181729,196731515,88547300,155405,2540,4,3,663067,662932,0
2,284288,93915278,25490953,304996,1480,4,4,955581,955449,0
2,185755,26794535,36642821,120497,1740,5,2,512318,512237,0
2,2591,50509506,85870007,415088,1387,4,2,989502,989378,0
3,176230,89345641,31665702,152431,1380,5,3,648822,648698,0
1,434,6321551,12658889,822,437,5,1,1589,1520,1
3,176091,76755869,75081076,286018,1427,5,3,651326,651200,0
1,178738,20189803,12658473,299744,1320,5,2,953359,953227,0
2,865,12655121,37881168,118346,236,5,2,119496,119436,3
4,278,6317370,14081,105,106,4,5,617,531,3
1,6071,126246544,162468539,415148,2747,5,1,671091,670954,0
3,180856,165219649,195049937,291472,2637,5,3,669448,669311,0
3,123353,106118600,108097258,320471,2577,4,3,1006198,1006063,0
1,9374,183205462,246248,1802,2677,5,3,15994,15755,4
3,183233,209430489,101186334,156034,2820,5,3,666999,666864,0
4,349689,14807512,76062809,158212,2140,5,4,658000,657869,0
1,1007,12652258,48153469,245770,1035,5,1,644735,644612,0
1,181762,77055867,12728136,300248,2090,5,2,960411,960272,0
2,1510,19033597,19041287,1625,1221,5,3,5342,5191,4
1,156,20608,20608,156,176,5,1,2188,2079,3
1,5667,119927306,149838070,414577,2567,5,1,668842,668706,0
4,350333,21123521,59416977,212906,1647,5,4,654473,654347,0
1,4327,107252211,85942990,242543,2630,5,1,519423,519335,0
1,190,6304713,10300699,244424,775,5,1,641270,641154,0
1,496,12617073,6338481,549,161,4,1,1294,1198,3
4,683,12637050,6332658,494,116,5,4,1444,1349,3
2,948,25231025,22960120,245329,1095,5,2,645426,645302,0
4,349365,14762675,57085099,157042,1645,5,4,651803,651679,0
4,303990,19099703,18099376,280105,787,4,4,979918,979802,0
3,118929,30251676,51147620,316673,1147,5,3,985046,984923,0
