Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped,Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,is_valid,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label
4,305111,25506841,100234870,284579,1657,0,0,0,0,2,278,556,4,5,0,0,0,0,4,0,0,0,0,0,1,0,6,992868,992744,-1,0
2,209,20671,6316631,274,96,0,0,0,0,47,3527,2757949,76,5,0,0,0,0,2,183877,6303353,183877,6303353,183877,1,0,8,90551,90494,-1,3
4,150,19774,6475473,3054,166,0,0,0,0,4,556,6068,106,5,0,0,0,0,4,502,6439888,502,6439888,502,1,0,6,7516,7418,-1,2
1,4699,100986365,124574097,413351,2267,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,1,0,8,664849,664714,-1,0
3,990,104058,88896,778,792,0,0,0,0,4,556,556,4,5,0,0,0,0,4,715,7152,715,7152,715,1,0,5,4328,4201,-1,1
1,361,12607883,30146,331,121,0,0,0,0,0,0,626,5,5,0,0,0,0,1,0,0,0,0,0,1,0,8,159924,159833,-1,3
2,186524,39444125,36677476,120800,2040,0,0,0,0,4,560,560,4,4,0,0,0,0,2,0,0,0,0,0,1,0,4,513846,513763,-1,0
2,1733,37865130,38063670,3187,2152,0,0,0,0,0,0,556,4,5,0,0,0,0,3,0,0,0,0,0,1,0,4,15087,14864,-1,4
2,417,6320215,12633727,607,156,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,164863,164772,-1,3
4,350188,14877116,101354648,159524,2910,0,0,0,0,2,278,280,2,5,0,0,0,0,4,0,0,0,0,0,1,0,6,667459,667324,-1,0
1,2503,44264187,12755005,1737,1182,0,0,0,0,4,556,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,9865,9656,-1,4
3,510,6334040,12621951,458,121,0,0,0,0,43,3411,2233167,66,4,0,0,0,0,3,249514,6303305,249514,6303305,249514,1,0,6,1768,1680,-1,2
2,652,18919286,6341868,622,126,0,0,0,0,74,2757669,2799,36,5,0,0,0,0,2,0,0,0,0,0,1,0,6,1808,1711,-1,3
1,79,10589,6367989,1223,71,0,0,0,0,3,348,8209,135,4,0,0,0,0,1,754,6356628,754,6356628,754,1,0,9,1830,1730,-1,2
3,180726,177778634,75906675,154707,2330,0,0,0,0,2,278,280,2,5,0,0,0,0,3,0,0,0,0,0,1,0,6,660674,660539,-1,0
2,2326,12856942,31777516,2998,2497,0,0,0,0,4,560,560,4,5,0,0,0,0,2,0,0,0,0,0,1,0,4,7343,7259,-1,1
2,1116,31533940,30000868,412970,987,0,0,0,0,0,0,556,4,5,0,0,0,0,2,0,0,0,0,0,1,0,6,983013,982897,-1,0
2,1317,31547911,42435809,409060,1087,0,0,0,0,0,0,560,4,4,0,0,0,0,2,0,0,0,0,0,1,0,6,645327,645204,-1,0
1,697,12630906,18953110,946,256,0,0,0,0,0,0,560,4,5,0,0,0,0,1,0,0,0,0,0,1,0,6,261323,261225,-1,3
3,118948,30254220,51158399,316810,1177,0,0,0,0,2,278,556,4,5,0,0,0,0,3,0,7813,0,7813,0,1,0,9,985719,985596,-1,0
2,537,18911468,52514,567,261,0,0,0,0,152,6170707,7169,100,5,0,0,0,0,2,561,6150,561,6150,561,1,0,6,2324,2223,-1,3
2,3877,88347011,92481245,249129,2260,0,0,0,0,0,0,602,5,5,0,0,0,0,2,630335,6303353,630335,6303353,630335,1,0,6,659381,659246,-1,0
2,2528,50505796,63317281,4246,2417,0,0,0,0,57,4039,4727279,123,5,0,0,0,0,2,197051,8273796,197051,8273796,197051,1,0,8,17801,17669,-1,1
1,4591,100970470,113805346,6472,2657,0,0,0,0,0,0,280,2,5,0,0,0,0,2,0,0,0,0,0,1,0,4,23774,23546,-1,4
3,1157,18967420,6330539,378,246,0,0,0,0,4,560,556,4,5,0,0,0,0,3,0,6303351,0,6303351,0,1,0,6,3126,3016,-1,3
2,5002,94715584,152836980,418211,2187,0,0,0,0,62,4112,2890030,90,5,0,0,0,0,2,0,0,0,0,0,1,0,8,999094,998964,-1,0
3,178719,127295580,125593508,288246,2027,0,0,0,0,65,4602,560,4,5,0,0,0,0,3,0,0,0,0,0,1,0,8,659828,659700,-1,0
4,392,32783,16363,156,116,0,0,0,0,4,556,560,4,5,0,0,0,0,4,0,0,0,0,0,1,0,6,1222,1130,-1,1
1,2271,37904924,79737446,247343,1440,0,0,0,0,0,0,420,3,4,0,0,0,0,1,0,0,0,0,0,1,0,6,649793,649669,-1,0
1,10606,202191356,302862,2209,3307,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,148,0,148,0,1,0,5,18832,18586,-1,4
4,3929,56967805,69559369,4060,1742,0,0,0,0,2,278,278,2,5,0,0,0,0,5,0,0,0,0,0,1,0,204,11827,11616,-1,4
1,1854,50459186,35342198,239391,1500,0,0,0,0,0,0,280,2,5,0,0,0,0,1,0,0,0,0,0,1,0,4,511489,511408,-1,0
1,4010,12819187,19153277,4625,221,0,0,0,0,95,5470,5470,95,5,0,0,0,0,1,453,186462,453,186462,453,1,0,6,9007,8894,-1,2
1,288,34983,60054,651,326,0,0,0,0,4,556,4727,63,5,0,0,0,0,1,0,0,0,0,0,1,0,6,2752,2637,-1,1
1,5025,132466086,85992784,243127,2840,0,0,0,0,0,0,560,4,4,0,0,0,0,1,0,0,0,0,0,1,0,4,521188,521100,-1,0
